ID,Company_Size,Job_Position,Industry,Strategic_BI_Availability,Strategic_BI_Alternatives,Strategic_BI_Alignment,Tactical_BI_Availability,Tactical_BI_Resource_Alloc,Tactical_BI_Data_Decisions,Operational_BI_Availability,Operational_BI_Agility,Operational_BI_Quality,BI_Improves_Decisions,BI_Speed_Accuracy,BI_Data_Inform,BI_Alternative_Solutions,BI_Cost_Barrier,BI_Training_Limit,BI_Flexibility_Issue,BI_Data_Integration_Issue
1.00,2,5,4,5,5,5,3,4,4,4,3,5,5,5,4,4,5,5,3,3
2.00,2,4,3,2,2,3,3,4,4,5,5,5,4,5,5,4,5,3,3,3
3.00,1,5,2,4,4,3,3,4,4,2,4,4,4,3,2,3,3,4,2,3
4.00,2,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,1,3
5.00,3,3,5,2,4,4,3,3,4,2,4,4,4,4,5,4,1,5,3,5
6.00,3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,3,3,3,3,2
7.00,1,3,5,5,5,5,4,4,5,3,4,5,5,4,5,4,5,5,3,2
8.00,1,4,4,3,4,5,4,5,3,2,3,4,4,3,4,5,2,2,3,4
9.00,2,2,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,3
10.00,2,3,3,4,4,3,4,4,4,5,5,5,4,4,5,4,4,4,2,2
11.00,2,4,3,4,3,3,4,4,4,5,4,4,4,5,5,3,4,4,4,3
12.00,2,2,2,4,4,5,4,3,3,5,5,5,5,5,5,5,3,3,3,3
13.00,2,3,3,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,2,3
14.00,1,3,3,3,4,3,5,3,2,4,3,3,4,3,2,4,3,4,3,3
15.00,2,3,3,4,5,4,4,4,4,4,4,4,5,5,5,5,4,3,2,3
16.00,3,2,3,4,4,3,4,4,5,3,5,4,5,5,5,4,4,5,3,3
17.00,2,1,2,4,4,3,4,4,4,4,5,5,5,5,5,5,3,5,2,3
18.00,2,2,1,4,4,4,4,3,3,4,4,4,5,5,5,5,3,4,4,4
19.00,2,3,2,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,1,3
20.00,1,5,3,2,3,3,4,3,3,2,3,3,3,3,3,3,2,4,2,2
21.00,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3
22.00,2,2,5,2,2,5,2,3,4,1,5,5,3,2,3,2,2,4,2,2
23.00,2,1,4,5,5,5,5,4,1,5,5,4,5,4,4,5,5,2,1,3
24.00,1,5,2,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,3,3
25.00,1,1,4,3,3,3,3,2,3,4,4,4,4,4,4,3,3,3,3,3
26.00,3,5,5,3,4,3,4,5,5,3,3,4,4,4,4,4,3,3,4,4
27.00,2,2,2,4,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
28.00,2,5,5,4,3,4,4,5,4,3,3,4,3,4,3,3,4,3,3,4
29.00,2,4,4,4,5,3,3,4,4,4,4,3,3,5,4,3,4,4,5,4
30.00,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3
31.00,1,1,2,1,1,4,3,3,4,2,3,3,2,3,3,3,3,5,3,3
32.00,2,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,3,3
33.00,3,5,5,3,2,3,2,3,3,2,3,1,2,3,3,3,1,5,4,4
34.00,1,4,1,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4
35.00,1,1,5,2,1,1,1,1,1,1,1,2,2,2,1,2,4,2,1,1
