,F1,F2,F3,F4
Strategic_BI_Availability,0.827,0.238,-0.129,-0.084
Strategic_BI_Alternatives,0.513,-0.069,0.016,0.473
Strategic_BI_Alignment,0.404,-0.12,0.165,0.429
Tactical_BI_Availability,0.742,-0.04,0.271,-0.061
Tactical_BI_Resource_Alloc,0.112,0.006,0.105,0.664
Tactical_BI_Data_Decisions,-0.124,0.088,-0.221,1.05
Operational_BI_Availability,0.115,0.652,-0.107,0.173
Operational_BI_Agility,-0.09,0.846,0.074,0.031
Operational_BI_Quality,0.415,0.715,-0.106,-0.15
BI_Improves_Decisions,0.064,0.401,0.204,0.275
BI_Speed_Accuracy,-0.086,0.504,0.579,-0.081
BI_Data_Inform,-0.157,0.22,0.602,0.221
BI_Alternative_Solutions,0.175,-0.135,1.02,-0.204
