Job_Position,Industry,Strategic_BI_Availability,Strategic_BI_Alternatives,Strategic_BI_Alignment,Tactical_BI_Availability,Tactical_BI_Resource_Alloc,Tactical_BI_Data_Decisions,Operational_BI_Availability,Operational_BI_Agility,Operational_BI_Quality,BI_Improves_Decisions,BI_Speed_Accuracy,BI_Data_Inform,BI_Alternative_Solutions,BI_Cost_Barrier,BI_Training_Limit,BI_Flexibility_Issue,BI_Data_Integration_Issue
5,4,5,5,5,3,4,4,4,3,5,5,5,4,4,5,5,3,3
4,3,2,2,3,3,4,4,5,5,5,4,5,5,4,5,3,3,3
5,2,4,4,3,3,4,4,2,4,4,4,3,2,3,3,4,2,3
5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,1,3
3,5,2,4,4,3,3,4,2,4,4,4,4,5,4,1,5,3,5
3,3,3,3,3,2,3,4,3,3,3,2,3,2,3,3,3,3,2
3,5,5,5,5,4,4,5,3,4,5,5,4,5,4,5,5,3,2
4,4,3,4,5,4,5,3,2,3,4,4,3,4,5,2,2,3,4
2,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,3
3,3,4,4,3,4,4,4,5,5,5,4,4,5,4,4,4,2,2
4,3,4,3,3,4,4,4,5,4,4,4,5,5,3,4,4,4,3
2,2,4,4,5,4,3,3,5,5,5,5,5,5,5,3,3,3,3
3,3,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,2,3
3,3,3,4,3,5,3,2,4,3,3,4,3,2,4,3,4,3,3
3,3,4,5,4,4,4,4,4,4,4,5,5,5,5,4,3,2,3
2,3,4,4,3,4,4,5,3,5,4,5,5,5,4,4,5,3,3
1,2,4,4,3,4,4,4,4,5,5,5,5,5,5,3,5,2,3
2,1,4,4,4,4,3,3,4,4,4,5,5,5,5,3,4,4,4
3,2,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,1,3
5,3,2,3,3,4,3,3,2,3,3,3,3,3,3,2,4,2,2
4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3
2,5,2,2,5,2,3,4,1,5,5,3,2,3,2,2,4,2,2
1,4,5,5,5,5,4,1,5,5,4,5,4,4,5,5,2,1,3
5,2,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,3,3
1,4,3,3,3,3,2,3,4,4,4,4,4,4,3,3,3,3,3
5,5,3,4,3,4,5,5,3,3,4,4,4,4,4,3,3,4,4
2,2,4,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
5,5,4,3,4,4,5,4,3,3,4,3,4,3,3,4,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,5,3,3,4,4,4,4,3,3,5,4,3,4,4,5,4
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3
1,2,1,1,4,3,3,4,2,3,3,2,3,3,3,3,5,3,3
4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,3,3
5,5,3,2,3,2,3,3,2,3,1,2,3,3,3,1,5,4,4
4,1,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4
1,5,2,1,1,1,1,1,1,1,2,2,2,1,2,4,2,1,1
5,3,3,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3
5,3,1,1,1,1,1,1,1,3,2,2,1,1,2,5,5,5,4
5,2,3,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
5,3,2,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4
5,5,4,4,3,2,4,3,4,3,3,3,4,4,2,4,5,4,5
5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2
5,2,3,4,4,4,3,3,3,3,3,4,5,5,5,5,3,2,4
5,3,4,4,5,2,3,4,3,4,4,4,4,5,4,2,3,4,3
5,3,1,4,3,2,3,5,4,4,1,4,2,4,2,1,4,2,4
5,3,1,4,4,3,4,4,3,2,1,3,4,5,5,1,4,2,4
5,2,3,3,4,3,2,2,3,3,4,3,3,4,3,3,3,3,3
5,4,4,4,4,3,4,2,3,4,2,3,3,4,3,2,5,4,3
5,2,3,3,4,4,3,4,4,4,3,3,3,3,3,2,4,4,4
5,3,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5
5,5,4,3,3,3,4,3,4,4,4,3,3,5,4,3,5,3,4
5,3,5,4,5,4,5,5,5,5,4,5,5,5,5,3,4,2,3
3,3,5,3,4,3,2,4,3,3,3,4,3,4,2,4,5,5,5
5,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,2,2,2
5,5,3,3,4,2,4,4,4,5,3,4,5,5,3,2,4,4,3
3,1,3,2,4,3,2,3,3,4,4,3,4,5,4,4,5,4,3
5,5,2,2,3,3,3,3,3,3,3,2,2,3,4,3,2,3,3
4,5,4,3,3,4,3,3,5,4,4,3,5,4,4,2,2,3,2
5,3,4,4,3,4,5,3,5,4,4,3,4,5,3,2,2,5,1
5,2,5,4,4,4,4,3,3,4,4,5,5,2,2,4,5,4,5
1,3,4,4,5,4,4,4,4,4,4,4,3,4,4,3,3,2,4
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3
3,5,3,2,3,4,4,3,2,4,4,3,4,4,5,3,4,3,4
3,3,4,4,4,4,5,5,4,5,5,4,4,4,4,5,4,4,3
2,4,3,3,4,3,5,4,5,5,4,5,4,5,4,5,5,4,5
5,3,1,2,2,3,3,3,3,3,3,3,4,3,4,5,5,3,3
5,5,3,4,4,3,4,4,4,4,4,4,5,4,4,3,4,3,3
3,1,4,2,2,4,2,5,5,4,4,5,4,3,3,1,4,2,4
4,2,4,4,5,4,3,4,4,3,4,4,5,5,5,4,4,2,2
3,1,4,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5
3,1,5,4,4,4,4,5,5,5,4,4,4,4,4,1,2,3,1
5,4,5,4,5,5,4,5,5,4,5,4,2,4,3,1,5,4,5
5,5,2,3,4,4,3,4,4,3,4,3,2,4,2,4,2,5,3
3,3,5,5,5,5,5,4,4,4,5,4,4,5,4,4,4,5,4
1,2,4,5,4,4,3,4,4,4,3,4,3,4,3,4,5,3,4
3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
2,3,4,4,3,3,4,4,4,5,4,4,5,4,3,2,4,4,4
5,2,2,1,1,2,1,2,3,3,2,1,2,2,2,4,4,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,2,3,4,4,2,3,4,3,4,4,4,3,4,2,3,4,3,3
5,5,4,4,3,4,4,4,4,2,5,2,2,3,3,5,5,4,4
1,1,3,3,3,3,3,3,3,3,3,3,3,4,2,2,5,2,5
4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,3,5
5,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2
5,3,2,2,3,4,3,3,5,4,4,2,2,3,4,2,1,3,3
3,2,3,5,4,4,3,5,4,5,3,3,2,2,3,4,3,5,4
2,3,4,5,3,2,4,5,4,4,4,5,4,4,3,4,4,5,3
5,2,4,3,5,3,4,3,4,4,4,3,3,4,3,4,4,3,4
4,1,3,4,4,4,4,4,5,5,5,4,4,4,3,5,5,3,4
2,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3
5,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,4,4,4,2,4,3,4,4,4,3,5,3,4,4,4,3,2
5,5,4,4,4,4,4,5,5,3,4,4,5,4,4,3,3,3,3
3,3,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4
4,2,5,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4
2,3,4,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,4
